"gid","Y"
"X1510e4aa.0",0.416114584
"X1516d75f.0",0.264262275
"X1911c363.0",0.369242573
"X1956dd3f.0",0.336310274
"X2593e5a7.0",0.264734981
"X2779bba9.0",0.311299342
"X4559ff3f.0",0.424446806
"X5384be83.0",0.508126759
"X5497b233.0",0.312329806
"X5505a767.0",0.301980228
"X5533f406.0",0.293171683
"X5632be21.0",0.40500006
"X6516a500.0",0.301873644
"X6815ec6d.0",0.301614907
"X7119ebee.0",0.314663805
"X7126c359.0",0.279720761
"X7691a376.0",0.363790421
"X7741d7c1.0",0.311702315
"X8288d278.0",0.343222159
"X8629f76c.0",0.285515704
"X9127f236.0",0.325281093
"X9764b3c8.0",0.368787433
"X17627a92.0",0.598192554
"X37249a74.0",0.40808901
"X49649a00.0",0.326155133
"X69527f35.0",0.310046771
"X85240e22.0",0.416265445
"X85551f9c.0",0.336287399
"X93387d96.0",0.341227304
"X137628a5.0",0.290497045
"X195567bf.0",0.334531329
"X280279b3.0",0.382445384
"X328163e1.0",0.444206123
"X348853a5.0",0.4149484
"X432387a8.0",0.323835264
"X642238d9.0",0.32291508
"X652530bb.0",0.245760261
"X818143d8.0",0.369388291
"X961237a1.0",0.31323154
"X3269952e.0",0.331873334
"X16463092.0",0.320587757
"X30646147.0",0.410324547
"X61152244.0",0.400020457
"X72497775.0",0.343468621
"X85959164.0",0.365046581
"X86556239.0",0.275169725
"X87621330.0",0.359557921
"X88631879.0",0.395484088
"Xa08839ce.0",0.33460721
"Xa0a3d697.0",0.340002048
"Xa4acb3d5.0",0.324385143
"Xa5a6e2dd.0",0.359835681
"Xa5ec1b10.0",0.383708111
"Xa7bec464.0",0.482620459
"Xa31b4a06.0",0.191073083
"Xa32e0586.0",0.421258223
"Xa446becd.0",0.473545328
"Xa7983b03.0",0.305298835
"Xa8319fc6.0",0.474369375
"Xa796716d.0",0.531515978
"Xac7a352c.0",0.379886176
"Xaceb3352.0",0.262045206
"Xaeed4684.0",0.429231768
"Xaf77442b.0",0.376045744
"Xb0816082.0",0.265269484
"Xb3a301ea.0",0.441471493
"Xb4d6e1d7.0",0.33264471
"Xb6dc1bcc.0",0.28114643
"Xb21f7528.0",0.314248601
"Xb29d3bf4.0",0.287940767
"Xb49ad0db.0",0.22376585
"Xb67fd5f6.0",0.367694886
"Xb238d197.0",0.431552185
"Xb663b3f8.0",0.379829377
"Xb828b757.0",0.380011182
"Xb956dfb5.0",0.396222207
"Xb23710c4.0",0.48910715
"Xb2320902.0",0.445695537
"Xb6701089.0",0.382135425
"Xba028784.0",0.370085926
"Xbc6b0af5.0",0.299276809
"Xbd0d322b.0",0.373671931
"Xbd7aaa87.0",0.430325556
"Xbecfe767.0",0.312621279
"Xbf7afed8.0",0.286464686
"Xbf18cbae.0",0.373806993
"Xbfa16661.0",0.291951081
"Xc08a5ea2.0",0.321506259
"Xc0936cf1.0",0.381523131
"Xc0d6eca3.0",0.283218002
"Xc4a397e5.0",0.353350136
"Xc5bf98cc.0",0.277572346
"Xc7d2513e.0",0.226888428
"Xc8a73fe7.0",0.347437087
"Xc14c4e03.0",0.28473573
"Xc20dfc59.0",0.281784152
"Xc86f37d0.0",0.373969573
"Xc97be7ae.0",0.336051875
"Xc528bce0.0",0.409147135
"Xc59435a8.0",0.317615697
"Xc7301040.0",0.43916276
"Xca615802.0",0.230367723
"Xcb5e38e6.0",0.386162495
"Xcb9c18df.0",0.164834521
"Xcbd6b346.0",0.427043536
"Xcc0ef8cf.0",0.456512841
"Xccdc6d39.0",0.369322041
"Xcd22c3de.0",0.289866671
"Xce3f9303.0",0.261712529
"Xceb798a3.0",0.292606502
"Xcf44b628.0",0.350770092
"Xd09d62e7.0",0.352878416
"Xd0392fe8.0",0.461145406
"Xd2da857d.0",0.289621301
"Xd22c8e33.0",0.301733307
"Xd56e98bc.0",0.358842502
"Xd438bfed.0",0.361739697
"Xd628ec3a.0",0.427689124
"Xd298701c.0",0.285019135
"Xd864377c.0",0.384637511
"Xdb737b9b.0",0.347726451
"Xdc2cf39b.0",0.266671361
"Xdd2bfbfb.0",0.305155314
"Xdd6e755e.0",0.372971428
"Xde7ac7bf.0",0.217520908
"Xde696d95.0",0.290472741
"Xdee26171.0",0.268515315
"Xdfb13733.0",0.263603798
"Xdfdfb828.0",0.355720388
"Xe074229f.0",0.362950501
"Xe0815776.0",0.335594447
"Xe3b049a9.0",0.379724561
"Xe8c621e8.0",0.350642369
"Xe8f708a5.0",0.328936018
"Xe13b4d7a.0",0.278748107
"Xe32c9d62.0",0.328683707
"Xe37be9e5.0",0.357242718
"Xe59cbfbe.0",0.318006474
"Xe876c9ec.0",0.435951005
"Xe4533c8b.0",0.399445438
"Xe5951598.0",0.429266991
"Xea28671d.0",0.29604638
"Xeac19fb8.0",0.313044067
"Xeb17cda6.0",0.361147665
"Xeca85a73.0",0.378353282
"Xed1beb9e.0",0.388907802
"Xef8fd965.0",0.264339135
"Xefbb93de.0",0.363091033
"Xf0328a18.0",0.331082631
"Xf2e9bed5.0",0.359167053
"Xf2e723fc.0",0.375986908
"Xf2f12364.0",0.31242745
"Xf7da2506.0",0.326920216
"Xf7e71b48.0",0.366874573
"Xf22d2dc6.0",0.26582281
"Xf25ad349.0",0.377274303
"Xf30e146b.0",0.33374791
"Xf46f03bf.0",0.368211335
"Xf73fa9e9.0",0.371284245
"Xf659d521.0",0.297038775
"Xf948d7b5.0",0.350261982
"Xfa4c4111.0",0.362036298
"Xfa180a1e.0",0.413025149
"Xfb2b3d82.0",0.43745818
"Xfb21dae1.0",0.357509199
"Xfbae20bd.0",0.324139977
"Xfdd98970.0",0.311772756
"Xfe70ec33.0",0.330427501
"Xfed0b9a3.0",0.342711749
"Xfed1dbae.0",0.341217663
"Xff836253.0",0.388023558
"Xffde60f9.0",0.302222106
